value,label
"jbht
","jbht
 J. B. Hunt Transport Services industrials trucking SP500"
"sjm
","sjm
 JM Smucker consumer staples packaged foods & meats SP500"
"jnj
","jnj
 Johnson & Johnson health care pharmaceuticals SP500"
"jci
","jci
 Johnson Controls International industrials building products SP500"
"jpm
","jpm
 JPMorgan Chase & Co. financials diversified banks SP500"
"jnpr
","jnpr
 Juniper Networks information technology communications equipment SP500"
"ksu
","ksu
 Kansas City Southern industrials railroads SP500"
"k
","k
 Kellogg Co. consumer staples packaged foods & meats SP500"
"key
","key
 KeyCorp financials regional banks SP500"
"keys
","keys
 Keysight Technologies information technology electronic equipment & instruments SP500"
"kmb
","kmb
 Kimberly-Clark consumer staples household products SP500"
"kim
","kim
 Kimco Realty real estate retail reits SP500"
"kmi
","kmi
 Kinder Morgan energy oil & gas storage & transportation SP500"
"klac
","klac
 KLA Corporation information technology semiconductor equipment SP500"
"kss
","kss
 Kohl's Corp. consumer discretionary general merchandise stores SP500"
"khc
","khc
 Kraft Heinz Co consumer staples packaged foods & meats SP500"
"kr
","kr
 Kroger Co. consumer staples food retail SP500"
"lb
","lb
 L Brands Inc. consumer discretionary apparel retail SP500"
"lhx
","lhx
 L3Harris Technologies industrials aerospace & defense SP500"
"lh
","lh
 Laboratory Corp. of America Holding health care health care services SP500"
"lrcx
","lrcx
 Lam Research information technology semiconductor equipment SP500"
"lw
","lw
 Lamb Weston Holdings Inc consumer staples packaged foods & meats SP500"
"lvs
","lvs
 Las Vegas Sands consumer discretionary casinos & gaming SP500"
"leg
","leg
 Leggett & Platt consumer discretionary home furnishings SP500"
"ldos
","ldos
 Leidos Holdings information technology it consulting & other services SP500"
"len
","len
 Lennar Corp. consumer discretionary homebuilding SP500"
"lly
","lly
 Lilly (Eli) & Co. health care pharmaceuticals SP500"
"lnc
","lnc
 Lincoln National financials multi-line insurance SP500"
"lin
","lin
 Linde plc materials industrial gases SP500"
"lyv
","lyv
 Live Nation Entertainment communication services movies & entertainment SP500"
"lkq
","lkq
 LKQ Corporation consumer discretionary distributors SP500"
"lmt
","lmt
 Lockheed Martin Corp. industrials aerospace & defense SP500"
"l
","l
 Loews Corp. financials multi-line insurance SP500"
"low
","low
 Lowe's Cos. consumer discretionary home improvement retail SP500"
"lyb
","lyb
 LyondellBasell materials specialty chemicals SP500"
"mtb
","mtb
 M&T Bank Corp. financials regional banks SP500"
"mro
","mro
 Marathon Oil Corp. energy oil & gas exploration & production SP500"
"mpc
","mpc
 Marathon Petroleum energy oil & gas refining & marketing SP500"
"mktx
","mktx
 MarketAxess financials financial exchanges & data SP500"
"mar
","mar
 Marriott Int'l. consumer discretionary hotels, resorts & cruise lines SP500"
"mmc
","mmc
 Marsh & McLennan financials insurance brokers SP500"
"mlm
","mlm
 Martin Marietta Materials materials construction materials SP500"
"mas
","mas
 Masco Corp. industrials building products SP500"
"ma
","ma
 Mastercard Inc. information technology data processing & outsourced services SP500"
"mkc
","mkc
 McCormick & Co. consumer staples packaged foods & meats SP500"
"mxim
","mxim
 Maxim Integrated Products Inc information technology semiconductors SP500"
"mcd
","mcd
 McDonald's Corp. consumer discretionary restaurants SP500"
"mck
","mck
 McKesson Corp. health care health care distributors SP500"
"mdt
","mdt
 Medtronic plc health care health care equipment SP500"
"mrk
","mrk
 Merck & Co. health care pharmaceuticals SP500"
"met
","met
 MetLife Inc. financials life & health insurance SP500"
"mtd
","mtd
 Mettler Toledo health care life sciences tools & services SP500"
"mgm
","mgm
 MGM Resorts International consumer discretionary casinos & gaming SP500"
"mchp
","mchp
 Microchip Technology information technology semiconductors SP500"
"mu
","mu
 Micron Technology information technology semiconductors SP500"
"msft
","msft
 Microsoft Corp. information technology systems software SP500"
"maa
","maa
 Mid-America Apartments real estate residential reits SP500"
"mhk
","mhk
 Mohawk Industries consumer discretionary home furnishings SP500"
"tap
","tap
 Molson Coors Brewing Company consumer staples brewers SP500"
"mdlz
","mdlz
 Mondelez International consumer staples packaged foods & meats SP500"
"mnst
","mnst
 Monster Beverage consumer staples soft drinks SP500"
"mco
","mco
 Moody's Corp financials financial exchanges & data SP500"
"ms
","ms
 Morgan Stanley financials investment banking & brokerage SP500"
"mos
","mos
 The Mosaic Company materials fertilizers & agricultural chemicals SP500"
"msi
","msi
 Motorola Solutions Inc. information technology communications equipment SP500"
"msci
","msci
 MSCI Inc financials financial exchanges & data SP500"
"myl
","myl
 Mylan N.V. health care pharmaceuticals SP500"
"ndaq
","ndaq
 Nasdaq, Inc. financials financial exchanges & data SP500"
"nov
","nov
 National Oilwell Varco Inc. energy oil & gas equipment & services SP500"
"ntap
","ntap
 NetApp information technology technology hardware, storage & peripherals SP500"
"nflx
","nflx
 Netflix Inc. communication services movies & entertainment SP500"
"nwl
","nwl
 Newell Brands consumer discretionary housewares & specialties SP500"
"nem
","nem
 Newmont Corporation materials gold SP500"
"nwsa
","nwsa
 News Corp. Class A communication services publishing SP500"
"nws
","nws
 News Corp. Class B communication services publishing SP500"
"nee
","nee
 NextEra Energy utilities multi-utilities SP500"
"nlsn
","nlsn
 Nielsen Holdings industrials research & consulting services SP500"
"nke
","nke
 Nike consumer discretionary apparel, accessories & luxury goods SP500"
"ni
","ni
 NiSource Inc. utilities multi-utilities SP500"
"nbl
","nbl
 Noble Energy Inc energy oil & gas exploration & production SP500"
"jwn
","jwn
 Nordstrom consumer discretionary department stores SP500"
"nsc
","nsc
 Norfolk Southern Corp. industrials railroads SP500"
"ntrs
","ntrs
 Northern Trust Corp. financials asset management & custody banks SP500"
"noc
","noc
 Northrop Grumman industrials aerospace & defense SP500"
"nlok
","nlok
 NortonLifeLock information technology application software SP500"
"nclh
","nclh
 Norwegian Cruise Line Holdings consumer discretionary hotels, resorts & cruise lines SP500"
"nrg
","nrg
 NRG Energy utilities independent power producers & energy traders SP500"
